,cl,coupling,d,exp,gdm,gq,lam,m1s,m2s,mchi,md,mdm,mlq,mmed,mphi,obs,p1s,p2s,tag,ylq
0,0.95,axial,,25.125,1.0,0.25,,17.916744232177734,13.44580078125,,,70.0,,100.0,,34.145376876348784,35.44038009643555,48.400718688964844,axial_mmed100_mdm70_gq0p25_gdm1p0,
0,0.9,axial,,20.875,1.0,0.25,,14.533760070800781,10.6005859375,,,70.0,,100.0,,29.480998664094518,30.591623306274414,42.938026428222656,axial_mmed100_mdm70_gq0p25_gdm1p0,
0,0.95,axial,,12.0625,1.0,0.25,,8.572738647460938,6.408203125,,,1.0,,1250.0,,20.5203445699047,17.20723533630371,23.90110206604004,axial_mmed1250_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,10.03125,1.0,0.25,,6.945465087890625,5.093994140625,,,1.0,,1250.0,,18.078463637186285,14.843400955200195,21.115798950195312,axial_mmed1250_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,21.4375,1.0,0.25,,15.235488891601562,11.388671875,,,1.0,,1500.0,,36.09690358291965,30.580734252929688,42.612274169921875,axial_mmed1500_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,17.8125,1.0,0.25,,12.33306884765625,9.04541015625,,,1.0,,1500.0,,31.695807107435954,26.357440948486328,37.63117218017578,axial_mmed1500_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,33.125,1.0,0.25,,23.541717529296875,17.59765625,,,450.0,,1500.0,,56.07874102486768,47.385066986083984,65.93016815185547,axial_mmed1500_mdm450_gq0p25_gdm1p0,
0,0.9,axial,,27.625000000000004,1.0,0.25,,19.1270751953125,14.0283203125,,,450.0,,1500.0,,49.28018847114088,40.74594497680664,58.27265548706055,axial_mmed1500_mdm450_gq0p25_gdm1p0,
0,0.95,axial,,62.5,1.0,0.25,,44.4183349609375,33.203125,,,600.0,,1500.0,,103.56941037919728,89.15666198730469,124.2340316772461,axial_mmed1500_mdm600_gq0p25_gdm1p0,
0,0.9,axial,,51.875,1.0,0.25,,35.9173583984375,26.3427734375,,,600.0,,1500.0,,90.95518413998347,76.76026916503906,109.59253692626953,axial_mmed1500_mdm600_gq0p25_gdm1p0,
0,0.95,axial,,36.125,1.0,0.25,,25.673797607421875,19.19140625,,,1.0,,1750.0,,63.68435852186035,51.82054138183594,71.9951400756836,axial_mmed1750_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,29.999999999999996,1.0,0.25,,20.771484375,15.234375,,,1.0,,1750.0,,56.12227634159562,44.3914794921875,63.60757827758789,axial_mmed1750_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,65.75,1.0,0.25,,46.72808837890625,34.9296875,,,1.0,,2000.0,,112.09076905614245,94.05489349365234,130.86517333984375,axial_mmed2000_mdm1_gq0p25_gdm1p0,
0,0.9,axial,,54.75,1.0,0.25,,37.69743347167969,27.802734375,,,1.0,,2000.0,,98.63206238956408,80.75440216064453,115.4906005859375,axial_mmed2000_mdm1_gq0p25_gdm1p0,
0,0.95,axial,,66.75,1.0,0.25,,47.43878173828125,35.4609375,,,200.0,,2000.0,,117.60103541981634,95.75144958496094,133.44793701171875,axial_mmed2000_mdm200_gq0p25_gdm1p0,
0,0.9,axial,,55.5,1.0,0.25,,38.42724609375,28.18359375,,,200.0,,2000.0,,103.76106603493824,82.12423706054688,117.67401885986328,axial_mmed2000_mdm200_gq0p25_gdm1p0,
0,0.95,axial,,74.875,1.0,0.25,,53.213165283203125,39.77734375,,,400.0,,2000.0,,127.92363264456988,107.4065933227539,149.6916046142578,axial_mmed2000_mdm400_gq0p25_gdm1p0,
