,cl,coupling,d,exp,gdm,gq,lam,m1s,m2s,mchi,md,mdm,mlq,mmed,mphi,obs,p1s,p2s,tag,ylq
0,0.95,,,0.2568359375,,,1.0,0.18530625104904175,0.13945388793945312,1.0,,,,,1000.0,0.2566056628311152,0.3561405539512634,0.4739728271961212,S3D_uR_mphi1000_mchi1_lam1p0,
0,0.95,,,0.2724609375,,,1.0,0.19657963514328003,0.14793777465820312,200.0,,,,,1000.0,0.2723981687811905,0.3778069019317627,0.5028076767921448,S3D_uR_mphi1000_mchi200_lam1p0,
0,0.95,,,0.44921875,,,1.0,0.3241097927093506,0.2439117431640625,400.0,,,,,1000.0,0.4489151584327874,0.6229074597358704,0.8290019035339355,S3D_uR_mphi1000_mchi400_lam1p0,
0,0.95,,,1.02734375,,,1.0,0.741225004196167,0.5578155517578125,600.0,,,,,1000.0,1.0291061158173704,1.4327523708343506,1.9018099308013916,S3D_uR_mphi1000_mchi600_lam1p0,
0,0.95,,,1.9921875,,,1.0,1.4326143264770508,1.07391357421875,750.0,,,,,1000.0,1.9945989491299763,2.7862820625305176,3.731998920440674,S3D_uR_mphi1000_mchi750_lam1p0,
0,0.95,,,5.765625,,,1.0,4.125391960144043,3.1080322265625,900.0,,,,,1000.0,5.769246710037466,8.086810111999512,10.854079246520996,S3D_uR_mphi1000_mchi900_lam1p0,
0,0.95,,,0.423828125,,,1.0,0.3047816753387451,0.2284698486328125,1.0,,,,,1200.0,0.41642935681791826,0.5876996517181396,0.7821452617645264,S3D_uR_mphi1200_mchi1_lam1p0,
0,0.95,,,0.419921875,,,1.0,0.3019726276397705,0.2263641357421875,200.0,,,,,1200.0,0.40743355223891725,0.582283079624176,0.7749366164207458,S3D_uR_mphi1200_mchi200_lam1p0,
0,0.95,,,0.615234375,,,1.0,0.442425012588501,0.3316497802734375,400.0,,,,,1200.0,0.6052027792010823,0.8531123995780945,1.1353721618652344,S3D_uR_mphi1200_mchi400_lam1p0,
0,0.95,,,1.2265625,,,1.0,0.8849606513977051,0.665985107421875,600.0,,,,,1200.0,1.2267996797491338,1.7056972980499268,2.267068862915039,S3D_uR_mphi1200_mchi600_lam1p0,
0,0.95,,,0.62109375,,,1.0,0.4466385841369629,0.334808349609375,1.0,,,,,1400.0,0.6203702253671024,0.866188645362854,1.1537574529647827,S3D_uR_mphi1400_mchi1_lam1p0,
0,0.95,,,0.646484375,,,1.0,0.46489739418029785,0.3484954833984375,200.0,,,,,1400.0,0.6451787160048954,0.9015989303588867,1.1967663764953613,S3D_uR_mphi1400_mchi200_lam1p0,
0,0.95,,,0.80078125,,,1.0,0.5758547782897949,0.431671142578125,350.0,,,,,1400.0,0.7982795709056876,1.1135921478271484,1.4852546453475952,S3D_uR_mphi1400_mchi350_lam1p0,
0,0.95,,,1.12109375,,,1.0,0.8088653087615967,0.6087188720703125,500.0,,,,,1400.0,1.1227108071177072,1.56349778175354,2.089777708053589,S3D_uR_mphi1400_mchi500_lam1p0,
0,0.95,,,1.84375,,,1.0,1.3258705139160156,0.993896484375,650.0,,,,,1400.0,1.8396871874378298,2.5639781951904297,3.407823324203491,S3D_uR_mphi1400_mchi650_lam1p0,
0,0.95,,,3.296875,,,1.0,2.3786840438842773,1.79010009765625,800.0,,,,,1400.0,3.2564992471772216,4.59788179397583,6.124347686767578,S3D_uR_mphi1400_mchi800_lam1p0,
0,0.95,,,0.875,,,1.0,0.6292266845703125,0.4716796875,1.0,,,,,1600.0,0.8739099297467947,1.220291018486023,1.6310460567474365,S3D_uR_mphi1600_mchi1_lam1p0,
0,0.95,,,0.9296875,,,1.0,0.668553352355957,0.50115966796875,200.0,,,,,1600.0,0.9293455464584074,1.2965590953826904,1.7329864501953125,S3D_uR_mphi1600_mchi200_lam1p0,
0,0.95,,,1.16796875,,,1.0,0.8399052619934082,0.629608154296875,350.0,,,,,1600.0,1.1647189112964387,1.6288704872131348,2.1771552562713623,S3D_uR_mphi1600_mchi350_lam1p0,
0,0.95,,,1.546875,,,1.0,1.1123828887939453,0.8338623046875,500.0,,,,,1600.0,1.5474896081681562,2.1572999954223633,2.8834564685821533,S3D_uR_mphi1600_mchi500_lam1p0,
0,0.95,,,1.5390625,,,1.0,1.106764793395996,0.82965087890625,650.0,,,,,1600.0,1.5393684183296088,2.14640474319458,2.868893623352051,S3D_uR_mphi1600_mchi650_lam1p0,
0,0.95,,,3.796875,,,1.0,2.7303943634033203,2.0467529296875,800.0,,,,,1600.0,3.785406952279906,5.280056476593018,7.066755771636963,S3D_uR_mphi1600_mchi800_lam1p0,
0,0.95,,,1.0625,,,1.0,0.7640609741210938,0.57275390625,1.0,,,,,1800.0,1.0631685073317831,1.486017107963562,1.9903994798660278,S3D_uR_mphi1800_mchi1_lam1p0,
